Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Combining human error verification and timing analysis: a case study on an infusion pump","Formal Aspects of Computing","","26","5","10.1007/s00165-013-0288-1","Rimvydas RukšėnasPaul CurzonAnn BlandfordJonathan Back","2014","http://link.springer.com/article/10.1007/s00165-013-0288-1","Article"
"Reliability Properties of Models for Flexible Design and Run-Time Analysis","Composition of Embedded Systems. Scientific and Industrial Issues","","","","10.1007/978-3-540-77419-8_12","LuqiValdis BerzinsP. M. Musial","2008","http://link.springer.com/chapter/10.1007/978-3-540-77419-8_12","Chapter"
"Applying Service-Oriented Development to Complex Systems: BART Case Study","Reliable Systems on Unreliable Networked Platforms","","","","10.1007/978-3-540-71156-8_2","Ingolf H. KrügerMichael MeisingerMassimiliano Menarini","2007","http://link.springer.com/chapter/10.1007/978-3-540-71156-8_2","Chapter"
"Learning Java with Sun SPOTs","Advanced Techniques in Computing Sciences and Software Engineering","","","","10.1007/978-90-481-3660-5_42","Craig CaulfieldS. Paul MajDavid Veal","2010","http://link.springer.com/chapter/10.1007/978-90-481-3660-5_42","Chapter"
"INDEXYS, a Logical Step beyond GENESYS","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-15651-9_32","Andreas EckelPaul MilbredtZaid Al-ArsStefan SchneeleBart VermeulenGyörgy CsertánChristoph ScheererNeeraj SuriAbdelmajid KhelilGerhard FohlerRoman ObermaisserChristian Fidi","2010","http://link.springer.com/chapter/10.1007/978-3-642-15651-9_32","Chapter"
"4 Semantics of UML Models for Dynamic Behavior","Model-Based Engineering of Embedded Real-Time Systems","","","","10.1007/978-3-642-16277-0_4","Mass Soldal LundAtle RefsdalKetil Stølen","2010","http://link.springer.com/chapter/10.1007/978-3-642-16277-0_4","Chapter"
"Towards Composable Robotics: The R3-COP Knowledge-Base Driven Technology Platform","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-33675-1_40","Erwin SchoitschWolfgang HerznerCarmen Alonso-MontesP. ChmelarLars Dalgaard","2012","http://link.springer.com/chapter/10.1007/978-3-642-33675-1_40","Chapter"
"RBAC/MAC Security for UML","Research Directions in Data and Applications Security XVIII","","","","10.1007/1-4020-8128-6_13","T. DoanS. DemurjianT.C. TingC. Phillips","2004","http://link.springer.com/chapter/10.1007/1-4020-8128-6_13","Chapter"
"Aligning UML 2.0 State Machines and Temporal Logic for the Efficient Execution of Services","On the Move to Meaningful Internet Systems 2006: CoopIS, DOA, GADA, and ODBASE","","","","10.1007/11914952_41","Frank Alexander KraemerPeter HerrmannRolv Bræk","2006","http://link.springer.com/chapter/10.1007/11914952_41","Chapter"
"Springer Terminology Related Standards Development","Terminology and Terminological Systems","","","","10.1007/978-1-4471-2816-8_7","Peter L. Elkin M.D., MACP, FACMI","2012","http://link.springer.com/chapter/10.1007/978-1-4471-2816-8_7","Chapter"
"The Role of Parts in the System Behaviour","Software Engineering for Resilient Systems","","","","10.1007/978-3-319-12241-0_3","Davide Di RuscioIvano MalavoltaPatrizio Pelliccione","2014","http://link.springer.com/chapter/10.1007/978-3-319-12241-0_3","Chapter"
"Comparing Six Modeling Approaches","Models in Software Engineering","","","","10.1007/978-3-642-29645-1_22","Gunter MussbacherWisam Al AbedOmar AlamShaukat AliAntoine BeugnardValentin BonnetRolv BrækAlfredo CapozuccaBetty H. C. ChengUrooj FatimaRobert FranceGeri GeorgNicolas GuelfiPaul IstoanJean-Marc JézéquelJörg Kienzle","2012","http://link.springer.com/chapter/10.1007/978-3-642-29645-1_22","Chapter"
"Using Ontologies in the Integration of Structural, Functional, and Process Perspectives in the Development of Safety Critical Systems","Reliable Software Technologies – Ada-Europe 2013","","","","10.1007/978-3-642-38601-5_7","Irene BicchieraiGiacomo BucciCarlo NocentiniEnrico Vicario","2013","http://link.springer.com/chapter/10.1007/978-3-642-38601-5_7","Chapter"
"UML specification of access control policies and their formal verification","Software & Systems Modeling","","5","4","10.1007/s10270-006-0030-z","Manuel KochFrancesco Parisi-Presicce","2006","http://link.springer.com/article/10.1007/s10270-006-0030-z","Article"
"The Practical Application of Formal Methods: Where Is the Benefit for Industry?","Formal Verification of Object-Oriented Software","","","","10.1007/978-3-642-31762-0_3","James J. Hunt","2012","http://link.springer.com/chapter/10.1007/978-3-642-31762-0_3","Chapter"
"e-Business Challenges and Directions: Important Themes from the First ICE-B Workshop","e-Business and Telecommunications","","","","10.1007/978-3-642-25206-8_1","David MarcaRebecca BulanderCornelia KruslinBoris ShishkovMarten van Sinderen","2012","http://link.springer.com/chapter/10.1007/978-3-642-25206-8_1","Chapter"
"Flexible Working Architectures: Agile Architecting Using PPCs","Software Architecture","","","","10.1007/978-3-642-15114-9_10","Jennifer PérezJessica DíazJuan GarbajosaPedro P. Alarcón","2010","http://link.springer.com/chapter/10.1007/978-3-642-15114-9_10","Chapter"
"Requirements Systematization through Pattern Application in Ubiquitous Systems","Ambient Intelligence - Software and Applications","","","","10.1007/978-3-319-00566-9_3","Tomás Ruiz-LópezManuel NogueraMaría José Rodríguez FórtizJosé Luis Garrido","2013","http://link.springer.com/chapter/10.1007/978-3-319-00566-9_3","Chapter"
"Future Soil Issues","The Soils of Italy","","","","10.1007/978-94-007-5642-7_11","Fabio TerribileAngelo BasileAntonello BonfanteAntonio CarboneClaudio ColomboGiuliano LangellaMichela IamarinoPiero MannaLuciana MinieriSimona Vingiani","2013","http://link.springer.com/chapter/10.1007/978-94-007-5642-7_11","Chapter"
"Policy Translation and Reconciliation Techniques for the System-of-Systems Domain","Global Security, Safety, and Sustainability","","","","10.1007/978-3-642-04062-7_20","Oliver DrewQi ShiMadjid Merabti","2009","http://link.springer.com/chapter/10.1007/978-3-642-04062-7_20","Chapter"
"Research on Modeling and Analysis of CPS","Autonomic and Trusted Computing","","","","10.1007/978-3-642-23496-5_7","Zhang YuDong YunweiZhang FanZhang Yunfeng","2011","http://link.springer.com/chapter/10.1007/978-3-642-23496-5_7","Chapter"
"Risk Analysis of Changing and Evolving Systems Using CORAS","Foundations of Security Analysis and Design VI","","","","10.1007/978-3-642-23082-0_9","Mass Soldal LundBjørnar SolhaugKetil Stølen","2011","http://link.springer.com/chapter/10.1007/978-3-642-23082-0_9","Chapter"
"An Overview of Rapid System Prototyping Today","Design Automation for Embedded Systems","","8","4","10.1023/B:DAEM.0000013062.16911.c5","F. KordonJ. Henkel","2003","http://link.springer.com/article/10.1023/B%3ADAEM.0000013062.16911.c5","Article"
"Compositional Bayesian modelling for computation of evidence collection strategies","Applied Intelligence","","35","1","10.1007/s10489-009-0208-5","Jeroen KeppensQiang ShenChris Price","2011","http://link.springer.com/article/10.1007/s10489-009-0208-5","Article"
"Ocarina : An Environment for AADL Models Analysis and Automatic Code Generation for High Integrity Applications","Reliable Software Technologies – Ada-Europe 2009","","","","10.1007/978-3-642-01924-1_17","Gilles LasnierBechir ZalilaLaurent PautetJérome Hugues","2009","http://link.springer.com/chapter/10.1007/978-3-642-01924-1_17","Chapter"
"Aspect-Oriented Modeling and Verification with Finite State Machines","Journal of Computer Science and Technology","","24","5","10.1007/s11390-009-9269-5","Dian-Xiang XuOmar El-ArissWei-Feng XuLin-Zhang Wang","2009","http://link.springer.com/article/10.1007/s11390-009-9269-5","Article"
"Why Programming Languages Still Matter","Rigorous Development of Complex Fault-Tolerant Systems","","","","10.1007/11916246_21","Peter Amey","2006","http://link.springer.com/chapter/10.1007/11916246_21","Chapter"
"Adaptive Human-Machine-Interface of Automation Systems","Technological Innovation for Collective Awareness Systems","","","","10.1007/978-3-642-54734-8_20","Farzan Yazdi MotlaghPeter Göhner","2014","http://link.springer.com/chapter/10.1007/978-3-642-54734-8_20","Chapter"
"IoS-Based Services, Platform Services, SLA and Models for the Internet of Services","Software and Data Technologies","","","","10.1007/978-3-642-20116-5_1","Jorge CardosoMatthias WinklerKonrad VoigtHenrike Berthold","2011","http://link.springer.com/chapter/10.1007/978-3-642-20116-5_1","Chapter"
"A Belief Logic for Analyzing Security of Web Protocols","Trust and Trustworthy Computing","","","","10.1007/978-3-642-30921-2_14","Apurva Kumar","2012","http://link.springer.com/chapter/10.1007/978-3-642-30921-2_14","Chapter"
"Application of Automated Revision for UML Models: A Case Study","Distributed Computing and Networking","","","","10.1007/978-3-642-25959-3_3","Jingshu ChenSandeep Kulkarni","2012","http://link.springer.com/chapter/10.1007/978-3-642-25959-3_3","Chapter"
"What Is Software Performance?","Model-Based Software Performance Analysis","","","","10.1007/978-3-642-13621-4_1","Vittorio CortellessaAntinisca Di MarcoPaola Inverardi","2011","http://link.springer.com/chapter/10.1007/978-3-642-13621-4_1","Chapter"
"Appendix: ICSR 2013 Workshop Summaries","Safe and Secure Software Reuse","","","","10.1007/978-3-642-38977-1_27","Davide Falessi","2013","http://link.springer.com/chapter/10.1007/978-3-642-38977-1_27","Chapter"
"Analysis and Design","The Making of Information Systems","","","","10.1007/978-3-540-79261-1_5","","2008","http://link.springer.com/chapter/10.1007/978-3-540-79261-1_5","Chapter"
"Relating CORAS to the State of the Art","Model-Driven Risk Analysis","","","","10.1007/978-3-642-12323-8_19","Mass Soldal LundBjørnar SolhaugKetil Stølen","2011","http://link.springer.com/chapter/10.1007/978-3-642-12323-8_19","Chapter"
"Poster Presentation Abstracts","Osteoporosis International","","17","2","10.1007/s00198-006-0097-y","","2006","http://link.springer.com/article/10.1007/s00198-006-0097-y","Article"
"Zero-Breakdown Machines and Systems: Productivity Needs for Next-Generation Maintenance","Engineering Asset Management","","","","10.1007/978-1-84628-814-2_2","J LeeL W Scott","2006","http://link.springer.com/chapter/10.1007/978-1-84628-814-2_2","Chapter"
"Modeling and Verifying Security Policies in Business Processes","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-662-43745-2_14","Mattia SalnitriFabiano DalpiazPaolo Giorgini","2014","http://link.springer.com/chapter/10.1007/978-3-662-43745-2_14","Chapter"
"Enterprise Modelling for Value Based Service Analysis","The Practice of Enterprise Modeling","","","","10.1007/978-3-540-89218-2_12","Paul JohannessonBirger AnderssonMaria BergholtzHans Weigand","2008","http://link.springer.com/chapter/10.1007/978-3-540-89218-2_12","Chapter"
"Modeling and Analyzing Information Integrity in Safety Critical Systems","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-642-38490-5_48","Mohamad GharibPaolo Giorgini","2013","http://link.springer.com/chapter/10.1007/978-3-642-38490-5_48","Chapter"
"RE Tasks and Processes","User-Centred Requirements Engineering","","","","10.1007/978-1-4471-0217-5_3","Alistair Sutcliffe MA, PhD","2002","http://link.springer.com/chapter/10.1007/978-1-4471-0217-5_3","Chapter"
"Aspect-Driven Design of Information Systems","SOFSEM 2014: Theory and Practice of Computer Science","","","","10.1007/978-3-319-04298-5_16","Karel CemusTomas Cerny","2014","http://link.springer.com/chapter/10.1007/978-3-319-04298-5_16","Chapter"
"Technological Evolution","Emerging Technological Risk","","","","10.1007/978-1-4471-2143-5_3","Stuart AndersonMassimo Felici","2012","http://link.springer.com/chapter/10.1007/978-1-4471-2143-5_3","Chapter"
"DNV Software","Software Product Lines in Action","","","","10.1007/978-3-540-71437-8_10","Frank van der LindenKlaus SchmidEelco Rommes","2007","http://link.springer.com/chapter/10.1007/978-3-540-71437-8_10","Chapter"
"Designing Heterogeneous Component Based Systems: Evaluation of MARTE Standard and Enhancement Proposal","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-24485-8_18","Ali KoudriArnaud CuccuruSebastien GerardFrançois Terrier","2011","http://link.springer.com/chapter/10.1007/978-3-642-24485-8_18","Chapter"
"A framework for automated and certified refinement steps","Innovations in Systems and Software Engineering","","9","1","10.1007/s11334-012-0183-6","Andreas GriesmayerZhiming LiuCharles MorissetShuling Wang","2013","http://link.springer.com/article/10.1007/s11334-012-0183-6","Article"
"New Technologies for Maintenance","Complex System Maintenance Handbook","","","","10.1007/978-1-84800-011-7_3","Jay LeeHaixia Wang","2008","http://link.springer.com/chapter/10.1007/978-1-84800-011-7_3","Chapter"
"A Review of Security Risk Assessment Methods in Cloud Computing","New Perspectives in Information Systems and Technologies, Volume 1","","","","10.1007/978-3-319-05951-8_42","Fatimah M. AlturkistaniAhmed Z. Emam","2014","http://link.springer.com/chapter/10.1007/978-3-319-05951-8_42","Chapter"
"Organisational Constraints on Information Systems Security","Emerging Themes in Information Systems and Organization  Studies","","","","10.1007/978-3-7908-2739-2_16","Maurizio Cavallari","2011","http://link.springer.com/chapter/10.1007/978-3-7908-2739-2_16","Chapter"
"Critical Systems Development Using Modeling Languages – CSDUML 2006 Workshop Report","Models in Software Engineering","","","","10.1007/978-3-540-69489-2_4","Geri GeorgSiv Hilde HoumbRobert FranceSteffen ZschalerDorina C. PetriuJan Jürjens","2007","http://link.springer.com/chapter/10.1007/978-3-540-69489-2_4","Chapter"
"Using Static Analysis in Space: Why Doing so?","Static Analysis","","","","10.1007/978-3-642-15769-1_5","David Lesens","2010","http://link.springer.com/chapter/10.1007/978-3-642-15769-1_5","Chapter"
"An Outline of an Architecture-Based Method for Optimizing Dependability Attributes of Software-Intensive Systems","Architecting Dependable Systems IV","","","","10.1007/978-3-540-74035-3_9","Lars GrunskePeter LindsayEgor BondarevYiannis PapadopoulosDavid Parker","2007","http://link.springer.com/chapter/10.1007/978-3-540-74035-3_9","Chapter"
"Workshops at the UML 2003 Conference","«UML» 2003 - The Unified Modeling Language. Modeling Languages and Applications","","","","10.1007/978-3-540-45221-8_34","Ana Moreira","2003","http://link.springer.com/chapter/10.1007/978-3-540-45221-8_34","Chapter"
"Supercomputing","Lecture Notes in Computer Science","","","","10.1007/978-3-319-07518-1","Julian Martin KunkelThomas LudwigHans Werner Meuer","2014","http://link.springer.com/book/10.1007/978-3-319-07518-1","Book"
"Integrating Design and Runtime Variability Support into a System ADL","Modelling Foundations and Applications","","","","10.1007/978-3-642-21470-7_19","Marie LudwigNicolas FarcetJean-Philippe BabauJoël Champeau","2011","http://link.springer.com/chapter/10.1007/978-3-642-21470-7_19","Chapter"
"Experience with Industrial Adoption of Business Process Models for User Acceptance Testing","Modelling Foundations and Applications","","","","10.1007/978-3-642-39013-5_14","Deepali KholkarPooja YelureHarshit TiwariAjay DeshpandeAditya Shetye","2013","http://link.springer.com/chapter/10.1007/978-3-642-39013-5_14","Chapter"
"Towards a Framework for the Development of Adaptive Multimodal User Interfaces for Ambient Assisted Living Environments","Universal Access in Human-Computer Interaction. Intelligent and Ubiquitous Interaction Environments","","","","10.1007/978-3-642-02710-9_18","Marco BlumendorfSahin Albayrak","2009","http://link.springer.com/chapter/10.1007/978-3-642-02710-9_18","Chapter"
"Enhancing the Maturity of Open Service Ecosystems and Inter-enterprise Collaborations","Enterprise Interoperability","","","","10.1007/978-3-642-36796-0_3","Lea Kutvonen","2013","http://link.springer.com/chapter/10.1007/978-3-642-36796-0_3","Chapter"
"Analysis and Design of Physical and Social Contexts in Multi-agent Systems","Software Engineering for Multi-Agent Systems IV","","","","10.1007/11738817_6","Florian KleinHolger Giese","2006","http://link.springer.com/chapter/10.1007/11738817_6","Chapter"
"Towards Conflict-Free Composition of Non-functional Concerns","Advanced Information Systems Engineering","","","","10.1007/978-3-642-31095-9_6","Benjamin SchmelingAnis CharfiMarko MartinMira Mezini","2012","http://link.springer.com/chapter/10.1007/978-3-642-31095-9_6","Chapter"
"An approach to quality engineering of TTCN-3 test specifications","International Journal on Software Tools for Technology Transfer","","10","4","10.1007/s10009-008-0075-0","Helmut NeukirchenBenjamin ZeissJens Grabowski","2008","http://link.springer.com/article/10.1007/s10009-008-0075-0","Article"
"Data Bases","A Second Generation PACS Concept","","","","10.1007/978-3-642-76963-4_7","D. BellD. H. O. LingI. R. YoungC. SchillingB. WeinD. Meyer-Ebrecht","1992","http://link.springer.com/chapter/10.1007/978-3-642-76963-4_7","Chapter"
"Distributed Situation Analysis","Abstract State Machines, Alloy, B, TLA, VDM, and Z","","","","10.1007/978-3-662-43652-3_14","Narek NalbandyanUwe GlässerHamed Yaghoubi ShahirHans Wehn","2014","http://link.springer.com/chapter/10.1007/978-3-662-43652-3_14","Chapter"
"Hard Problems in Software Testing","Synthesis Lectures on Software Engineering","","","","10.1007/978-3-031-02547-1","Scott TilleyBrianna Floss","2014","http://link.springer.com/book/10.1007/978-3-031-02547-1","Book"
"Value delivery through IT-based healthcare architectures","25 Jahre ressourcen- und kompetenzorientierte Forschung","","","","10.1007/978-3-8349-8856-0_16","Christoph RascheTiziana MargariaAndrea Braun von Reinersdorff","2010","http://link.springer.com/chapter/10.1007/978-3-8349-8856-0_16","Chapter"
"Tools for Verification and Validation","Embedded Systems Design","","","","10.1007/978-3-540-31973-3_7","Bruno BouyssounouseJoseph Sifakis","2005","http://link.springer.com/chapter/10.1007/978-3-540-31973-3_7","Chapter"
"5 Modeling and Simulation of TDL Applications","Model-Based Engineering of Embedded Real-Time Systems","","","","10.1007/978-3-642-16277-0_5","Stefan ResmeritaPatricia DerlerWolfgang PreeAndreas Naderlinger","2010","http://link.springer.com/chapter/10.1007/978-3-642-16277-0_5","Chapter"
"Monitoring and Diagnosing Malicious Attacks with Autonomic Software","Conceptual Modeling - ER 2009","","","","10.1007/978-3-642-04840-1_9","Vítor E. Silva SouzaJohn Mylopoulos","2009","http://link.springer.com/chapter/10.1007/978-3-642-04840-1_9","Chapter"
"Divide and Conquer – Towards a Notion of Risk Model Encapsulation","Engineering Secure Future Internet Services and Systems","","","","10.1007/978-3-319-07452-8_14","Atle RefsdalØyvind RidengBjørnar SolhaugKetil Stølen","2014","http://link.springer.com/chapter/10.1007/978-3-319-07452-8_14","Chapter"
"Towards Legal Privacy Risk Assessment and Specification","Trust, Privacy and Security in Digital Business","","","","10.1007/978-3-642-22890-2_15","Ebenezer Paintsil","2011","http://link.springer.com/chapter/10.1007/978-3-642-22890-2_15","Chapter"
"Component Integration through Built-in Contract Testing","Component-Based Software Quality","","","","10.1007/978-3-540-45064-1_8","Hans-Gerhard GrossColin AtkinsonFranck Barbier","2003","http://link.springer.com/chapter/10.1007/978-3-540-45064-1_8","Chapter"
"Early Automated Verification of Tool Chain Design","Computational Science and Its Applications – ICCSA 2012","","","","10.1007/978-3-642-31128-4_4","Matthias Biehl","2012","http://link.springer.com/chapter/10.1007/978-3-642-31128-4_4","Chapter"
"Non-Contact Sensors","Machine Intelligence","","","","10.1007/978-3-662-12402-4_2","Alan Gomersall M.Phil., B.Sc.(Eng)., M.I.Inf.Sc.","1984","http://link.springer.com/chapter/10.1007/978-3-662-12402-4_2","Chapter"
"The Spec# Programming System: An Overview","Construction and Analysis of Safe, Secure, and Interoperable Smart Devices","","","","10.1007/978-3-540-30569-9_3","Mike BarnettK. Rustan M. LeinoWolfram Schulte","2005","http://link.springer.com/chapter/10.1007/978-3-540-30569-9_3","Chapter"
"Defining Security Architectural Patterns Based on Viewpoints","Computational Science and Its Applications – ICCSA 2007","","","","10.1007/978-3-540-74484-9_23","David G. RosadoCarlos GutiérrezEduardo Fernández-MedinaMario Piattini","2007","http://link.springer.com/chapter/10.1007/978-3-540-74484-9_23","Chapter"
"Can We Increase the Usability of Real Time Scheduling Theory? The Cheddar Project","Reliable Software Technologies – Ada-Europe 2008","","","","10.1007/978-3-540-68624-8_18","Frank SinghoffAlain PlantecPierre Dissaux","2008","http://link.springer.com/chapter/10.1007/978-3-540-68624-8_18","Chapter"
"The Theory of Timed I/O Automata","Synthesis Lectures on Distributed Computing Theory","","","","10.1007/978-3-031-02003-2","Dilsun K. KaynarNancy LynchRoberto SegalaFrits Vaandrager","2011","http://link.springer.com/book/10.1007/978-3-031-02003-2","Book"
"Does aspect-oriented modeling help improve the readability of UML state machines?","Software & Systems Modeling","","13","3","10.1007/s10270-012-0293-5","Shaukat AliTao YueLionel C. Briand","2014","http://link.springer.com/article/10.1007/s10270-012-0293-5","Article"
"Intelligent security and privacy solutions for enabling personalized telepathology","Diagnostic Pathology","","6","1","10.1186/1746-1596-6-S1-S4","Bernd Blobel","2011","http://link.springer.com/article/10.1186/1746-1596-6-S1-S4","Article"
"Performance Driven WS Orchestration and Deployment in Service Oriented Infrastructure","Journal of Grid Computing","","12","2","10.1007/s10723-014-9293-8","Salvatore DistefanoGiuseppe Serazzi","2014","http://link.springer.com/article/10.1007/s10723-014-9293-8","Article"
"A Technique for Risk-Based Test Procedure Identification, Prioritization and Selection","Leveraging Applications of Formal Methods, Verification and Validation. Specialized Techniques and Applications","","","","10.1007/978-3-662-45231-8_20","Fredrik Seehusen","2014","http://link.springer.com/chapter/10.1007/978-3-662-45231-8_20","Chapter"
"Business process management with the user requirements notation","Electronic Commerce Research","","9","4","10.1007/s10660-009-9039-z","Alireza PourshahidDaniel AmyotLiam PeytonSepideh GhanavatiPengfei ChenMichael WeissAlan J. Forster","2009","http://link.springer.com/article/10.1007/s10660-009-9039-z","Article"
"IT Infrastructure to Enable Next Generation Enterprises","Information Systems Frontiers","","7","3","10.1007/s10796-005-2768-1","Amjad Umar","2005","http://link.springer.com/article/10.1007/s10796-005-2768-1","Article"
"Integration of informal and formal development of object-oriented safety-critical software","International Journal on Software Tools for Technology Transfer","","7","3","10.1007/s10009-004-0166-5","Richard BubelReiner Hähnle","2005","http://link.springer.com/article/10.1007/s10009-004-0166-5","Article"
"Representing and Validating Digital Business Processes","Web Information Systems and Technologies","","","","10.1007/978-3-540-68262-2_2","Ernesto DamianiPaolo CeravoloCristiano FugazzaKarl Reed","2008","http://link.springer.com/chapter/10.1007/978-3-540-68262-2_2","Chapter"
"On-the-Fly Formal Testing of a Smart Card Applet","Security and Privacy in the Age of Ubiquitous Computing","","","","10.1007/0-387-25660-1_37","Arjen van WeeldenMartijn OostdijkLars FrantzenPieter KoopmanJan Tretmans","2005","http://link.springer.com/chapter/10.1007/0-387-25660-1_37","Chapter"
"An architecture framework for enterprise IT service availability analysis","Software & Systems Modeling","","13","4","10.1007/s10270-012-0307-3","Ulrik FrankePontus JohnsonJohan König","2014","http://link.springer.com/article/10.1007/s10270-012-0307-3","Article"
"Software Reuse beyond Components with XVCL (Tutorial)","Generative and Transformational Techniques in Software Engineering II","","","","10.1007/978-3-540-88643-3_2","Stan Jarzabek","2008","http://link.springer.com/chapter/10.1007/978-3-540-88643-3_2","Chapter"
"Towards an Engineering Approach to Component Adaptation","Architecting Systems with Trustworthy Components","","","","10.1007/11786160_11","Steffen BeckerAntonio BrogiIan GortonSven OverhageAlexander RomanovskyMassimo Tivoli","2006","http://link.springer.com/chapter/10.1007/11786160_11","Chapter"
"Composition and Self-Adaptation of Service-Based Systems with Feature Models","Safe and Secure Software Reuse","","","","10.1007/978-3-642-38977-1_25","Javier CuboNadia GamezLidia FuentesErnesto Pimentel","2013","http://link.springer.com/chapter/10.1007/978-3-642-38977-1_25","Chapter"
"Stable Availability under Denial of Service Attacks through Formal Patterns","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-28872-2_6","Jonas EckhardtTobias MühlbauerMusab AlTurkiJosé MeseguerMartin Wirsing","2012","http://link.springer.com/chapter/10.1007/978-3-642-28872-2_6","Chapter"
"eBusiness","Handbook of Semantic Web Technologies","","","","10.1007/978-3-540-92913-0_19","Christoph GrünChristian HuemerPhilipp LieglDieter MayrhoferThomas MotalRainer SchusterProf. Hannes WerthnerMarco Zapletal","2011","http://link.springer.com/referenceworkentry/10.1007/978-3-540-92913-0_19","ReferenceWorkEntry"
"Automatic Generation of Runtime Failure Detectors from Property Templates","Software Engineering for Self-Adaptive Systems","","","","10.1007/978-3-642-02161-9_12","Mauro PezzèJochen Wuttke","2009","http://link.springer.com/chapter/10.1007/978-3-642-02161-9_12","Chapter"
"Critical System Development Methodology","Using Event-B for Critical Device Software Systems","","","","10.1007/978-1-4471-5260-6_4","Neeraj Kumar Singh","2013","http://link.springer.com/chapter/10.1007/978-1-4471-5260-6_4","Chapter"
"Requirements Analysis and Conceptual Framework","Semantic Methods for Execution-level Business Process Modeling","","","","10.1007/978-3-642-05085-5_3","Ingo M. Weber","2009","http://link.springer.com/chapter/10.1007/978-3-642-05085-5_3","Chapter"
"On the Design of Compliance Governance Dashboards for Effective Compliance and Audit Management","Service-Oriented Computing. ICSOC/ServiceWave 2009 Workshops","","","","10.1007/978-3-642-16132-2_20","Patrícia SilveiraCarlos RodríguezFabio CasatiFlorian DanielVincenzo D’AndreaClaire WorledgeZouhair Taheri","2010","http://link.springer.com/chapter/10.1007/978-3-642-16132-2_20","Chapter"
"Multi-objective optimization and evaluation method of modular product configuration design scheme","The International Journal of Advanced Manufacturing Technology","","75","9 - 12","10.1007/s00170-014-6240-6","Wei WeiWenhui FanZhongkai Li","2014","http://link.springer.com/article/10.1007/s00170-014-6240-6","Article"
"A relationship-based approach to model integration","Innovations in Systems and Software Engineering","","8","1","10.1007/s11334-011-0155-2","Marsha ChechikShiva NejatiMehrdad Sabetzadeh","2012","http://link.springer.com/article/10.1007/s11334-011-0155-2","Article"
"Methodology for modeling and analysis of supply networks","Journal of Intelligent Manufacturing","","19","4","10.1007/s10845-008-0098-0","Dusan StefanovicNenad Stefanovic","2008","http://link.springer.com/article/10.1007/s10845-008-0098-0","Article"
"The Aniketos Design-Time Framework Applied – A Case in Air Traffic Management","Secure and Trustworthy Service Composition","","","","10.1007/978-3-319-13518-2_14","Stéphane PaulAlessandra TedeschiErlend Andreas GjæreIvonne Herrera","2014","http://link.springer.com/chapter/10.1007/978-3-319-13518-2_14","Chapter"
"Workshops and Tutorials at the UML 2002 Conference","≪UML≫ 2002 — The Unified Modeling Language","","","","10.1007/3-540-45800-X_34","Jon Whittle","2002","http://link.springer.com/chapter/10.1007/3-540-45800-X_34","Chapter"
"Requirements-Engineering systematisch","eXamen.press","","","","10.1007/978-3-642-05358-0","Helmuth A. Partsch","2010","http://link.springer.com/book/10.1007/978-3-642-05358-0","Book"
"Extending interaction overview diagrams with activity diagram constructs","Software & Systems Modeling","","9","2","10.1007/s10270-009-0114-7","Jon Whittle","2010","http://link.springer.com/article/10.1007/s10270-009-0114-7","Article"
"Formal Modeling and Analysis of Context-Aware Medication Management System for Smart Houses","Inclusive Society: Health and Wellbeing in the Community, and Care at Home","","","","10.1007/978-3-642-39470-6_27","Yasir MalikBessam Abdulrazak","2013","http://link.springer.com/chapter/10.1007/978-3-642-39470-6_27","Chapter"
"New Challenges in the Development of Critical Embedded Systems—An “aeromotive” Perspective","Leveraging Applications of Formal Methods, Verification, and Validation","","","","10.1007/978-3-642-16558-0_1","Visar JanuzajStefan KugeleBoris LangerChristian SchallhartHelmut Veith","2010","http://link.springer.com/chapter/10.1007/978-3-642-16558-0_1","Chapter"
"Product Line Architecture and the Separation of Concerns","Software Product Lines","","","","10.1007/3-540-45652-X_7","Jay van Zyl","2002","http://link.springer.com/chapter/10.1007/3-540-45652-X_7","Chapter"
"ERP System Implementation","Enterprise Resource Planning and Supply Chain Management","","","","10.1007/978-3-642-31573-2_6","Karl E. Kurbel","2013","http://link.springer.com/chapter/10.1007/978-3-642-31573-2_6","Chapter"
"Modelling Basics","Modelling in Mechanical Engineering and Mechatronics","","","","10.1007/978-1-84628-909-5_2","","2007","http://link.springer.com/chapter/10.1007/978-1-84628-909-5_2","Chapter"
"Standardization","Springer Handbook of Geographic Information","","","","10.1007/978-3-540-72680-7_13","Wolfgang KresseDavid M. DankoKian Fadaie","2012","http://link.springer.com/chapter/10.1007/978-3-540-72680-7_13","Chapter"
"Computing refactorings of state machines","Software & Systems Modeling","","6","4","10.1007/s10270-006-0037-5","Alexander PretschnerWolfgang Prenninger","2007","http://link.springer.com/article/10.1007/s10270-006-0037-5","Article"
